Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,Complain,Total_Offsprings,Living_With,Family_Size,Days_since_enrollment,Age,Total_Amount,Frequency,Total_purchases
Postgraduate,84618.0,96,684,100,801,21,66,0,1,0,0,Partner,2,219,58,1672,5,25
Postgraduate,10979.0,34,8,4,10,2,2,4,2,0,0,Alone,1,38,34,30,0,6
Postgraduate,38620.0,56,112,17,44,34,22,89,1,0,0,Partner,2,414,60,318,0,10
Graduate,40548.0,31,110,0,5,2,0,3,2,0,1,Partner,3,627,53,120,4,7
Postgraduate,46610.0,8,96,12,96,33,22,43,6,0,2,Alone,3,608,71,302,6,11
Postgraduate,68657.0,4,482,34,471,119,68,22,1,0,0,Partner,2,494,77,1196,0,17
Postgraduate,49389.0,55,40,0,19,2,1,3,1,0,2,Alone,3,304,72,65,0,5
Postgraduate,67353.0,37,702,17,151,0,8,35,5,0,1,Partner,3,180,53,913,0,23
Undergraduate,23718.0,76,6,3,14,15,7,36,3,0,1,Partner,3,300,47,81,0,6
Graduate,42429.0,99,55,0,6,2,0,4,2,0,1,Alone,2,138,50,67,0,5
Postgraduate,48948.0,53,437,8,206,160,49,42,2,0,0,Alone,1,513,80,902,9,22
Graduate,80011.0,3,421,76,536,82,178,102,2,0,1,Partner,3,426,43,1395,0,19
Postgraduate,20559.0,88,13,1,29,3,0,7,2,0,1,Partner,3,474,38,53,0,5
Graduate,21994.0,4,9,0,6,3,1,3,1,0,1,Partner,3,552,66,22,0,3
Postgraduate,7500.0,19,3,1,10,3,2,12,3,0,1,Partner,3,270,48,31,0,5
Graduate,79941.0,72,123,164,266,227,30,174,1,0,0,Alone,1,1,47,984,0,15
Undergraduate,7500.0,24,3,18,14,15,22,50,3,0,0,Partner,2,597,27,122,6,7
Graduate,41728.0,92,13,6,15,3,5,13,1,0,1,Partner,3,401,55,55,0,4
Postgraduate,72550.0,39,826,50,317,50,38,38,9,0,2,Partner,4,598,69,1319,0,19
Graduate,65486.0,29,245,19,125,37,67,14,1,0,1,Alone,2,48,66,507,0,16
Postgraduate,79143.0,2,650,37,780,27,167,32,1,0,0,Partner,2,687,59,1693,0,28
Graduate,35790.0,54,12,6,20,30,1,3,2,0,1,Alone,2,543,46,72,0,5
Graduate,82582.0,54,510,120,550,156,40,241,1,0,0,Alone,1,22,46,1617,10,20
Graduate,66373.0,57,328,9,124,12,24,109,7,0,2,Partner,4,382,45,606,0,16
Postgraduate,82384.0,55,984,51,432,180,120,190,1,0,0,Partner,2,587,68,1957,11,26
Graduate,70287.0,30,295,35,482,121,120,40,1,0,0,Alone,1,453,57,1093,6,20
Graduate,27938.0,31,13,0,8,2,1,5,1,0,1,Alone,2,62,35,29,0,5
Postgraduate,55954.0,63,447,0,28,0,0,43,3,0,1,Partner,3,118,55,518,0,16
Postgraduate,75777.0,12,712,26,538,69,13,80,1,0,0,Alone,1,360,41,1438,15,20
Graduate,66653.0,18,452,18,102,16,18,6,4,0,2,Partner,4,660,48,612,0,18
Graduate,61823.0,26,523,7,134,37,14,169,4,0,1,Alone,2,496,71,884,0,20
Postgraduate,67680.0,8,546,0,48,0,6,6,1,0,1,Alone,2,383,72,606,0,18
Graduate,70666.0,29,398,40,367,119,122,30,1,0,0,Partner,2,205,75,1076,0,15
Graduate,25721.0,75,1,3,6,3,6,15,1,0,1,Partner,3,404,52,34,6,4
Graduate,32474.0,0,10,0,1,0,0,0,1,0,2,Partner,4,49,56,11,0,3
Undergraduate,88194.0,19,688,14,309,201,24,38,1,0,1,Alone,2,102,44,1274,10,31
Graduate,69096.0,4,247,49,159,7,82,109,1,0,1,Partner,3,275,65,653,0,17
Graduate,74854.0,90,856,59,487,58,29,73,7,0,3,Partner,5,447,53,1562,0,12
Postgraduate,66991.0,1,496,36,460,189,60,12,3,0,0,Partner,2,656,69,1253,0,18
Graduate,65031.0,29,258,107,291,84,37,86,4,0,1,Partner,3,469,64,863,0,26
Postgraduate,60631.0,88,565,6,65,0,6,19,5,0,2,Partner,4,450,48,661,4,19
Graduate,28332.0,58,14,10,13,4,15,9,1,0,0,Partner,2,60,71,65,0,7
Graduate,40246.0,68,2,1,6,2,1,1,1,0,1,Alone,2,557,46,13,0,3
Postgraduate,75251.0,34,721,111,925,97,18,18,1,0,0,Partner,2,671,51,1890,6,18
Graduate,75825.0,40,1032,105,779,137,105,51,0,0,0,Alone,1,625,47,2209,9,22
Undergraduate,26326.0,12,1,0,5,0,3,9,1,1,0,Partner,2,298,47,18,0,3
Graduate,56046.0,9,577,0,64,0,0,51,2,0,0,Partner,2,543,58,692,9,19
Graduate,29760.0,87,64,4,68,7,5,17,4,0,1,Alone,2,669,38,165,0,8
Graduate,26304.0,5,4,1,5,2,0,4,1,0,1,Partner,3,371,54,16,0,3
Undergraduate,23559.0,87,25,5,19,7,0,23,3,0,1,Partner,3,361,50,79,0,6
Postgraduate,38620.0,56,112,17,44,34,22,89,1,0,0,Partner,2,414,60,318,0,10
Graduate,81361.0,18,163,23,424,27,65,76,1,0,0,Alone,1,124,36,778,0,26
Graduate,29440.0,95,17,8,14,10,4,3,2,0,2,Partner,4,322,63,56,0,5
Postgraduate,36138.0,48,130,0,16,0,0,5,5,0,2,Partner,4,348,53,151,4,8
Graduate,50388.0,3,292,6,37,0,3,34,4,0,1,Alone,2,32,66,372,11,13
Graduate,79593.0,70,350,60,568,110,133,145,1,0,0,Partner,2,48,50,1366,5,18
Graduate,54178.0,79,135,9,39,4,0,7,1,0,1,Partner,3,159,56,194,0,9
Postgraduate,42394.0,69,15,2,10,0,1,4,1,0,1,Alone,2,98,51,32,0,4
Postgraduate,23626.0,84,27,2,14,0,0,0,3,0,1,Partner,3,36,53,43,0,7
Graduate,30096.0,30,5,3,11,12,5,9,1,0,1,Partner,3,38,40,45,0,5
Graduate,47916.0,72,505,0,26,0,0,75,5,0,1,Alone,2,584,63,606,4,17
Graduate,51813.0,37,51,2,7,0,1,2,2,0,2,Alone,3,444,51,63,0,5
Undergraduate,78497.0,44,207,26,447,75,0,223,1,0,0,Partner,2,210,72,978,1,24
Postgraduate,50150.0,32,135,46,92,65,61,11,2,0,0,Partner,2,374,40,410,0,14
Undergraduate,47823.0,0,53,1,5,2,1,10,2,0,1,Alone,2,341,63,72,0,5
Postgraduate,34554.0,43,41,1,6,2,0,5,2,0,1,Alone,2,91,64,55,0,5
Graduate,85693.0,59,386,172,183,185,132,111,2,0,1,Partner,3,435,44,1169,0,25
Postgraduate,65846.0,68,562,81,276,80,40,81,1,0,0,Partner,2,408,78,1120,0,15
Graduate,87195.0,35,217,76,690,50,26,38,1,0,0,Partner,2,52,64,1097,6,19
Undergraduate,24594.0,94,1,3,6,10,0,9,1,0,1,Partner,3,201,44,29,0,4
Graduate,49096.0,15,144,1,32,2,1,7,4,0,2,Partner,4,278,59,187,0,9
Graduate,52413.0,56,295,106,271,75,98,65,4,0,2,Partner,4,512,54,910,0,22
Graduate,38557.0,17,76,3,31,4,4,27,2,0,1,Alone,2,557,45,145,0,7
Postgraduate,89058.0,18,454,194,106,31,22,43,1,0,0,Partner,2,569,63,850,0,13
Graduate,77298.0,46,425,115,292,23,35,79,1,0,1,Partner,3,239,44,969,0,23
Postgraduate,68126.0,40,1332,17,311,23,51,86,1,0,0,Alone,1,596,32,1820,10,16
Postgraduate,57288.0,27,527,0,21,0,0,60,3,0,1,Partner,3,4,60,608,4,17
Graduate,86037.0,95,490,44,125,29,20,22,1,0,0,Alone,1,543,32,730,15,24
Postgraduate,43974.0,19,378,0,101,0,0,72,5,0,1,Partner,3,564,43,551,0,16
Graduate,50785.0,27,64,1,21,0,1,27,2,0,2,Alone,3,292,61,114,0,6
Graduate,90765.0,25,547,99,812,151,82,33,0,0,0,Partner,2,156,53,1724,6,15
Undergraduate,36550.0,74,47,90,94,123,103,120,5,0,1,Partner,3,495,45,577,0,15
Undergraduate,30753.0,85,12,5,25,0,9,30,2,0,2,Partner,4,353,56,81,0,5
Graduate,21918.0,37,1,6,7,11,5,3,2,0,1,Partner,3,227,54,33,0,5
Postgraduate,56129.0,65,320,48,133,39,72,48,4,0,1,Partner,3,374,70,660,0,18
Postgraduate,32557.0,13,34,3,29,0,4,10,3,0,1,Alone,2,125,56,80,6,6
Postgraduate,19510.0,63,9,0,7,3,4,7,2,0,2,Partner,4,298,38,30,0,4
Graduate,30992.0,83,17,0,14,7,3,2,1,0,1,Alone,2,433,47,43,0,4
Graduate,101970.0,69,722,27,102,44,72,168,0,0,0,Alone,1,474,40,1135,16,27
Undergraduate,71488.0,87,162,33,124,40,28,172,2,0,0,Partner,2,496,58,559,0,14
Graduate,79607.0,37,450,133,951,173,0,216,1,0,0,Alone,1,434,39,1923,6,15
Postgraduate,54348.0,51,70,0,16,0,0,4,2,0,2,Partner,4,21,70,90,0,6
Postgraduate,77376.0,72,492,19,110,16,12,12,4,0,2,Partner,4,50,67,661,0,19
Graduate,62998.0,10,120,58,73,65,89,58,5,0,1,Partner,3,272,71,463,0,14
Postgraduate,61331.0,42,534,5,47,0,5,41,5,0,2,Alone,3,476,65,632,0,18
Graduate,73448.0,10,236,106,189,23,41,130,1,0,0,Partner,2,139,54,725,0,18
Postgraduate,41551.0,51,220,0,33,3,0,23,5,0,2,Partner,4,319,59,279,0,11
Postgraduate,62981.0,21,796,14,590,38,44,0,1,0,0,Partner,2,469,56,1482,4,22
Undergraduate,9548.0,31,0,1,3,10,6,9,2,0,1,Alone,2,690,47,29,0,4
Postgraduate,33762.0,61,53,1,34,2,0,16,3,0,3,Partner,5,357,64,106,0,6
Postgraduate,35860.0,37,15,0,8,4,2,20,2,0,2,Alone,3,41,50,49,9,4
Postgraduate,36921.0,74,17,1,12,3,1,4,2,0,2,Alone,3,336,58,38,0,5
Postgraduate,92859.0,46,962,61,921,52,61,20,1,0,0,Alone,1,618,31,2077,0,21
Postgraduate,65104.0,4,738,0,232,13,20,50,2,0,1,Partner,3,227,47,1053,6,15
Graduate,86111.0,73,399,28,756,36,40,126,1,0,0,Partner,2,436,61,1385,0,22
Postgraduate,68352.0,47,614,16,132,43,33,33,3,0,1,Alone,2,305,49,871,0,22
Graduate,41883.0,13,32,34,41,73,16,116,3,0,1,Partner,3,467,35,312,0,9
Graduate,59809.0,36,598,16,141,32,41,49,3,0,2,Partner,4,619,47,877,0,12
Graduate,23957.0,47,2,1,18,20,11,16,1,0,1,Partner,3,609,48,68,6,5
Graduate,38547.0,49,6,1,10,0,1,4,1,1,1,Partner,3,305,42,22,0,3
Undergraduate,35688.0,94,73,3,90,12,1,32,7,0,3,Partner,5,676,50,211,0,9
Postgraduate,49605.0,65,42,16,29,12,20,8,1,0,0,Partner,2,8,57,127,0,7
Postgraduate,59354.0,59,295,21,78,39,13,13,1,0,2,Partner,4,66,70,459,0,15
Graduate,65747.0,96,346,17,48,23,13,13,4,0,1,Partner,3,114,54,460,4,15
Undergraduate,46344.0,28,233,20,57,8,20,91,4,0,1,Partner,3,562,51,429,0,13
Graduate,34176.0,12,5,7,24,19,14,20,4,0,1,Alone,2,48,35,89,0,7
Postgraduate,61010.0,57,888,0,57,0,0,76,2,0,1,Partner,3,628,71,1021,0,24
Graduate,69372.0,10,997,26,269,34,13,42,1,0,0,Partner,2,495,74,1381,15,20
Graduate,49967.0,4,212,6,69,4,12,3,3,0,1,Alone,2,356,65,306,0,12
Graduate,60199.0,49,8,1,7,2,0,0,1,0,3,Alone,4,290,45,18,0,3
Graduate,55375.0,3,42,11,57,10,28,14,1,0,1,Partner,3,255,46,162,0,8
Graduate,80317.0,64,536,11,387,149,91,57,1,0,0,Alone,1,313,68,1231,0,17
Postgraduate,30523.0,0,5,0,3,0,0,5,1,0,3,Alone,4,363,65,13,0,3
Postgraduate,70356.0,20,1349,16,249,43,16,33,2,0,0,Partner,2,601,78,1706,0,25
Graduate,23228.0,91,53,3,49,7,4,5,4,0,1,Partner,3,175,39,121,0,7
Postgraduate,74165.0,9,1001,12,240,16,12,12,1,0,0,Alone,1,424,48,1293,0,19
Postgraduate,157243.0,98,20,2,1582,1,2,1,15,0,1,Partner,3,120,50,1608,0,22
Graduate,43482.0,83,18,1,32,6,3,28,3,0,3,Partner,5,228,57,88,0,6
Graduate,62551.0,27,125,16,98,134,21,27,1,0,0,Alone,1,223,70,421,3,17
Graduate,52332.0,63,212,5,33,7,0,2,1,0,0,Alone,1,305,64,259,4,11
Graduate,66951.0,46,277,162,305,173,76,124,1,0,0,Alone,1,239,35,1117,0,14
Graduate,26091.0,84,15,10,19,8,17,20,3,0,2,Partner,4,124,66,89,0,6
Graduate,33456.0,58,7,3,10,8,1,7,2,0,2,Partner,4,69,58,36,0,4
Graduate,28718.0,78,12,4,6,11,8,16,2,0,1,Partner,3,351,41,57,0,5
Graduate,50447.0,4,85,7,24,2,3,27,1,0,2,Partner,4,69,53,148,0,7
Postgraduate,53537.0,17,81,0,6,0,0,6,2,0,2,Partner,4,150,64,93,0,6
Graduate,52074.0,77,59,0,12,0,0,48,1,0,1,Alone,2,86,56,119,3,6
Postgraduate,80427.0,56,1149,71,449,69,71,26,1,0,1,Partner,3,655,48,1835,0,27
Postgraduate,83837.0,79,847,66,119,86,89,111,1,0,0,Partner,2,560,75,1318,11,24
Postgraduate,38853.0,90,29,0,14,0,0,2,2,0,2,Partner,4,37,53,45,0,5
Graduate,38285.0,96,2,0,5,2,0,1,1,0,3,Partner,5,5,64,10,0,3
Undergraduate,78497.0,44,207,26,447,75,0,223,1,0,0,Partner,2,210,72,978,1,24
Postgraduate,51650.0,81,152,3,22,2,5,7,1,0,1,Partner,3,49,47,191,0,9
Undergraduate,16248.0,77,12,11,10,3,12,9,3,0,1,Partner,3,50,35,57,0,6
Postgraduate,66835.0,21,620,26,195,34,17,141,1,0,0,Partner,2,274,77,1033,0,23
Postgraduate,30477.0,16,47,1,6,0,0,12,1,0,1,Partner,3,158,39,66,0,5
Undergraduate,28249.0,80,1,9,7,2,14,10,1,0,0,Partner,2,14,62,43,0,5
Graduate,25271.0,45,10,1,18,10,4,7,1,0,1,Partner,3,571,40,50,0,4
Postgraduate,32303.0,63,35,0,2,0,0,2,2,0,1,Alone,2,113,53,39,0,5
Graduate,61286.0,34,356,0,107,19,9,117,2,0,1,Partner,3,331,57,608,0,16
Graduate,74068.0,14,783,30,537,140,76,15,1,0,0,Partner,2,467,47,1581,0,23
Postgraduate,45759.0,13,42,1,18,3,0,4,2,0,2,Partner,4,491,59,68,0,5
Undergraduate,24882.0,52,1,4,10,29,0,36,1,0,1,Partner,3,658,45,80,3,4
Postgraduate,66973.0,98,466,22,432,147,113,102,1,0,0,Partner,2,408,34,1282,0,27
Undergraduate,36640.0,99,15,6,8,7,4,25,1,1,1,Alone,2,276,123,65,0,5
Graduate,38872.0,93,23,3,21,3,19,22,2,0,1,Partner,3,395,35,91,0,6
Graduate,51148.0,38,235,6,45,8,9,12,4,0,2,Partner,4,496,50,315,0,12
Graduate,31353.0,24,10,0,10,3,1,7,2,0,2,Partner,4,182,46,31,0,4
Postgraduate,69661.0,80,656,16,106,32,16,8,1,0,0,Partner,2,47,43,834,0,22
Graduate,80067.0,82,519,17,813,27,173,51,1,0,0,Partner,2,283,69,1600,5,16
Graduate,86718.0,20,344,189,482,50,33,172,1,0,0,Partner,2,528,69,1270,0,16
Postgraduate,46854.0,81,96,1,79,7,1,79,6,0,2,Alone,3,90,50,263,9,9
Graduate,69142.0,50,448,4,34,6,4,39,3,0,1,Alone,2,0,71,535,4,16
Graduate,75922.0,60,265,138,553,224,23,92,1,0,0,Alone,1,202,55,1295,0,17
Graduate,63693.0,63,587,43,337,42,87,54,3,0,1,Alone,2,258,45,1150,0,26
Postgraduate,102160.0,54,763,29,138,76,176,58,0,0,0,Partner,2,604,46,1240,16,26
Postgraduate,40637.0,72,22,0,13,0,0,3,2,0,2,Alone,3,347,58,38,0,4
Postgraduate,18890.0,5,6,4,1,7,2,15,1,0,0,Alone,1,596,39,35,9,3
Graduate,29604.0,88,7,6,13,7,6,14,1,0,1,Partner,3,203,35,53,3,4
Postgraduate,48721.0,50,81,18,113,47,13,21,6,0,2,Alone,3,412,60,293,0,11
Graduate,44794.0,99,54,0,7,0,0,4,1,0,1,Partner,3,21,57,65,0,5
Graduate,64497.0,17,1170,48,320,42,32,192,5,0,1,Alone,2,657,69,1804,9,24
Graduate,46097.0,11,72,24,68,65,4,8,5,0,1,Partner,3,455,67,241,0,10
Graduate,77972.0,18,613,22,319,33,102,12,1,0,0,Partner,2,103,69,1101,0,19
Postgraduate,44377.0,70,224,0,30,0,0,10,8,0,2,Partner,4,632,55,264,0,11
Postgraduate,46014.0,21,410,0,59,19,9,44,10,0,2,Partner,4,524,49,541,0,16
Graduate,70951.0,66,239,10,554,254,87,54,1,0,0,Partner,2,421,38,1198,0,16
Graduate,41443.0,79,171,7,171,25,19,89,6,0,1,Partner,3,89,46,482,0,14
Undergraduate,52195.0,2,12,0,4,0,0,1,1,0,3,Alone,4,48,45,17,0,3
Postgraduate,83790.0,81,1076,16,417,42,48,16,1,0,0,Partner,2,226,75,1615,9,24
Postgraduate,44551.0,24,182,4,33,0,0,66,2,0,1,Alone,2,302,69,285,0,10
Graduate,69508.0,48,824,32,162,42,32,43,2,0,1,Partner,3,592,43,1135,0,26
Undergraduate,45204.0,93,30,11,25,29,1,18,1,0,1,Partner,3,79,35,114,0,6
Graduate,72460.0,56,377,10,540,80,30,10,1,0,0,Partner,2,227,54,1047,0,15
Postgraduate,77622.0,3,520,7,154,19,0,14,2,0,2,Partner,4,76,53,714,0,20
Postgraduate,30732.0,44,155,1,25,0,1,3,4,0,1,Partner,3,540,43,185,0,9
Graduate,63887.0,38,897,23,207,15,11,92,5,0,1,Alone,2,659,61,1245,0,27
Graduate,42011.0,46,131,0,16,2,1,39,4,0,1,Partner,3,460,45,189,0,8
Graduate,51369.0,84,297,7,79,0,11,182,2,0,1,Partner,3,612,47,576,0,14
Graduate,51537.0,27,787,20,204,0,0,92,3,0,1,Alone,2,567,71,1103,0,15
Postgraduate,79930.0,72,792,86,740,67,51,17,1,0,0,Partner,2,690,51,1753,0,16
Postgraduate,34320.0,66,4,1,9,3,0,0,1,0,1,Partner,3,133,37,17,0,3
Graduate,37070.0,30,231,7,137,4,15,39,9,0,2,Alone,3,466,57,433,6,14
Undergraduate,81975.0,2,983,76,184,180,138,27,1,0,1,Alone,2,540,61,1588,5,13
Graduate,38590.0,65,3,1,8,4,3,3,1,0,1,Partner,3,410,52,22,0,3
Graduate,15033.0,37,0,4,5,6,0,4,1,0,0,Alone,1,74,72,19,0,4
Postgraduate,62745.0,89,562,21,464,28,10,32,3,0,1,Partner,3,463,58,1117,0,26
Undergraduate,22212.0,49,5,9,20,6,8,21,2,0,1,Partner,3,202,48,69,0,6
Postgraduate,23661.0,46,18,0,4,0,0,1,1,0,1,Partner,3,207,41,23,0,4
Postgraduate,79761.0,32,415,5,124,15,35,11,1,0,1,Alone,2,268,65,605,0,18
Graduate,7500.0,54,5,3,10,12,7,20,4,0,1,Alone,2,185,50,57,0,7
Undergraduate,60182.0,23,8,0,5,7,0,2,1,0,1,Alone,2,43,130,22,0,3
Graduate,73455.0,98,901,61,757,186,163,20,1,0,0,Alone,1,244,55,2088,4,21
Graduate,64961.0,97,382,114,276,75,124,38,2,0,1,Partner,3,553,65,1009,0,14
Graduate,22804.0,75,14,1,7,2,1,1,1,0,1,Alone,2,333,52,26,0,4
Graduate,73687.0,8,559,153,503,218,13,181,1,0,0,Partner,2,213,33,1627,7,21
Graduate,61074.0,37,789,0,133,0,28,152,7,0,1,Partner,3,681,65,1102,0,24
Postgraduate,31686.0,31,11,0,5,0,0,1,2,0,2,Partner,4,24,59,17,0,4
Graduate,80134.0,40,1218,16,272,104,0,80,2,0,1,Partner,3,405,51,1690,16,14
Graduate,75027.0,74,925,64,179,133,12,77,2,0,1,Partner,3,536,70,1390,0,19
Postgraduate,67546.0,90,864,134,768,150,38,172,1,0,0,Partner,2,667,35,2126,0,19
Postgraduate,65176.0,57,960,28,183,220,70,70,4,0,1,Partner,3,608,54,1531,0,21
Postgraduate,31160.0,59,16,3,25,6,1,13,2,0,1,Alone,2,286,48,64,0,5
Graduate,29938.0,52,3,3,7,0,2,11,2,0,1,Alone,2,245,38,26,0,4
Graduate,102692.0,5,168,148,444,32,172,148,1,0,0,Alone,1,450,49,1112,18,28
Undergraduate,26490.0,92,45,47,52,21,20,25,2,0,0,Partner,2,645,65,210,0,9
Graduate,75702.0,77,650,28,353,45,42,30,5,0,2,Partner,4,669,56,1148,0,21
Postgraduate,30899.0,35,24,0,8,0,0,1,2,0,1,Alone,2,624,49,33,0,4
Postgraduate,63342.0,48,918,21,118,13,10,21,3,0,1,Partner,3,621,62,1101,4,16
Graduate,45989.0,97,138,33,87,28,24,12,4,0,1,Alone,2,615,59,322,0,12
Graduate,18701.0,95,12,4,2,10,6,10,4,0,2,Alone,3,390,59,44,0,6
Postgraduate,40737.0,24,11,0,4,0,0,2,1,0,3,Alone,4,203,66,17,0,3
Graduate,15287.0,60,1,2,8,4,3,13,2,0,1,Alone,2,627,44,31,9,4
Postgraduate,69674.0,46,554,41,215,11,0,24,3,0,2,Alone,3,403,55,845,0,22
Postgraduate,44159.0,85,167,2,62,24,13,7,4,0,1,Partner,3,12,53,275,0,11
Postgraduate,37717.0,31,9,0,6,4,1,5,1,0,1,Partner,3,583,45,25,0,3
Postgraduate,43776.0,9,177,2,71,3,2,20,6,0,2,Partner,4,511,71,275,6,11
Postgraduate,38179.0,30,38,4,22,4,2,20,4,0,2,Partner,4,472,57,90,0,7
Graduate,80124.0,47,483,84,398,205,84,241,1,0,0,Partner,2,3,60,1495,3,18
Postgraduate,38097.0,70,77,2,35,0,1,69,4,0,2,Partner,4,622,53,184,9,7
Graduate,72940.0,13,182,74,298,162,149,116,1,0,0,Partner,2,375,53,981,0,12
Graduate,22070.0,11,10,7,19,8,2,21,2,0,1,Partner,3,268,53,67,0,6
Graduate,69267.0,31,778,44,499,95,73,146,2,0,0,Alone,1,645,70,1635,6,12
Postgraduate,31788.0,15,16,7,23,0,8,6,3,1,1,Alone,2,101,40,60,0,7
Postgraduate,61905.0,2,167,0,43,6,2,13,2,0,1,Partner,3,145,48,231,0,10
Graduate,29315.0,55,13,2,14,8,7,4,4,0,2,Partner,4,84,63,48,0,6
Graduate,33378.0,38,33,6,40,3,7,10,3,0,2,Alone,3,508,60,99,0,6
Postgraduate,66313.0,86,625,7,99,10,22,7,2,0,1,Partner,3,286,60,770,0,21
Graduate,60714.0,56,216,162,224,101,92,162,2,0,0,Alone,1,528,67,957,6,21
Postgraduate,77882.0,29,68,129,396,188,22,15,1,0,0,Partner,2,60,42,818,0,11
Postgraduate,69867.0,30,196,0,512,33,130,54,1,0,0,Alone,1,453,37,925,7,16
Postgraduate,63841.0,64,635,15,100,20,7,131,1,0,1,Alone,2,434,55,908,0,21
Undergraduate,24480.0,46,4,19,9,28,25,17,3,0,1,Partner,3,503,42,102,0,7
Graduate,51369.0,84,297,7,79,0,11,182,2,0,1,Partner,3,612,47,576,0,14
Graduate,37760.0,20,84,5,38,150,12,28,2,0,0,Partner,2,667,77,317,0,11
Postgraduate,65640.0,74,204,7,149,20,15,66,1,0,1,Partner,3,120,49,461,0,14
Postgraduate,44319.0,18,26,0,8,0,0,3,2,0,2,Partner,4,73,48,37,0,5
Graduate,30631.0,75,15,6,20,4,5,20,1,0,1,Partner,3,352,49,70,0,6
Graduate,75278.0,17,304,98,230,150,74,74,1,0,0,Partner,2,516,71,930,0,22
Postgraduate,50898.0,88,285,28,242,55,114,135,13,0,2,Partner,4,537,67,859,0,20
Graduate,79946.0,19,395,183,565,166,141,28,1,0,0,Alone,1,48,57,1478,0,21
Postgraduate,35416.0,62,248,3,81,4,3,51,3,0,0,Alone,1,381,74,390,0,13
Undergraduate,32414.0,11,20,6,5,0,9,12,1,0,0,Partner,2,360,39,52,3,4
Graduate,38361.0,74,39,0,56,20,8,14,3,0,1,Partner,3,184,54,137,0,7
Graduate,82497.0,32,777,129,573,216,21,203,1,0,0,Partner,2,606,43,1919,5,18
Graduate,16626.0,76,8,3,22,21,1,13,3,0,2,Partner,4,165,52,68,0,6
Graduate,29672.0,6,9,1,3,0,4,8,1,0,2,Partner,4,474,58,25,0,3
Postgraduate,55951.0,62,1241,0,80,0,13,40,3,0,1,Partner,3,675,71,1374,6,20
Undergraduate,35388.0,20,6,4,7,4,3,8,1,0,1,Alone,2,479,35,32,0,4
Postgraduate,42386.0,43,65,4,16,0,4,11,1,0,1,Partner,3,532,37,100,0,6
Graduate,68627.0,45,395,15,263,60,54,38,1,0,0,Alone,1,533,41,825,0,11
Postgraduate,57912.0,34,801,0,80,0,0,35,5,0,1,Alone,2,104,58,916,4,23
Graduate,35246.0,53,36,0,12,2,2,10,4,0,2,Alone,3,74,65,62,0,7
Undergraduate,58821.0,44,513,14,154,19,0,28,1,0,1,Partner,3,260,67,728,0,20
