Education,Marital_Status,Income,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,DealsPurchases,Web,Catalog,Store,WebVisitsMonth,Complain,Response,Age,Living_With,Total_Offsprings,Total_Expenditure,Family_Size,Total_Purchases,Campaigns_Accepted
Postgraduate,Married,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,74,Partner,Two Children,1782,3,31,1
Undergraduate,Single,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,38,Alone,Two Children,133,2,14,0
Graduate,Married,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,41,Partner,One Child,316,2,20,0
Graduate,Married,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,44,Partner,Two Children,1730,3,44,0
Postgraduate,Married,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,0,74,Partner,Two Children,972,3,25,1
Postgraduate,Married,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,69,Partner,Two Children,544,3,24,0
Graduate,Together,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,72,Partner,Two Children,444,3,28,0
Graduate,Single,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,54,Alone,One Child,75,1,15,0
Graduate,Married,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,47,Partner,Three or More Children,257,4,21,0
Graduate,Single,51412.0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,37,Alone,Two Children,637,2,28,0
Postgraduate,Married,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,58,Partner,One Child,1672,2,28,1
Postgraduate,Together,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,60,Partner,One Child,318,2,14,0
Graduate,Together,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,0,53,Partner,Two Children,120,3,14,1
Postgraduate,Divorced,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,1,71,Alone,Three or More Children,302,3,23,0
Postgraduate,Married,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,77,Partner,One Child,1196,2,25,0
Postgraduate,Single,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,72,Alone,Three or More Children,65,3,13,0
Postgraduate,Married,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,53,Partner,Two Children,913,3,30,0
Undergraduate,Married,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,47,Partner,Two Children,81,3,16,0
Graduate,Widow,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,50,Alone,Two Children,67,2,12,0
Graduate,Married,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,43,Partner,Two Children,1395,3,25,0
Postgraduate,Married,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,38,Partner,Two Children,53,3,15,0
Graduate,Together,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,66,Partner,Two Children,22,3,9,0
Postgraduate,Single,51412.0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,64,Alone,One Child,186,1,11,0
Postgraduate,Married,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,48,Partner,Two Children,31,3,13,0
Graduate,Single,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,47,Alone,One Child,984,1,17,0
Graduate,Together,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,55,Partner,Two Children,55,3,15,0
Graduate,Single,51412.0,96,48,5,48,6,10,7,3,2,1,4,6,0,0,72,Alone,Three or More Children,124,4,16,0
Postgraduate,Married,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,69,Partner,Three or More Children,1319,4,36,0
Graduate,Widow,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,66,Alone,Two Children,507,2,19,0
Postgraduate,Married,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,59,Partner,One Child,1693,2,32,0
Graduate,Single,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,46,Alone,Two Children,72,2,14,0
Graduate,Divorced,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,0,1,46,Alone,One Child,1617,1,22,2
Graduate,Married,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,45,Partner,Three or More Children,606,4,26,0
Postgraduate,Together,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,1,68,Partner,One Child,1957,2,28,1
Graduate,Divorced,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,1,57,Alone,One Child,1093,1,24,0
Graduate,Single,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,35,Alone,Two Children,29,2,9,0
Graduate,Single,51412.0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,41,Alone,Two Children,46,2,13,0
Postgraduate,Married,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,55,Partner,Two Children,518,3,26,0
Postgraduate,Single,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,41,Alone,One Child,1438,1,22,2
Graduate,Together,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,48,Partner,Three or More Children,612,4,25,0
Graduate,Single,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,71,Alone,Two Children,884,2,31,0
Postgraduate,Widow,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,72,Alone,Two Children,606,2,24,0
Graduate,Together,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,75,Partner,One Child,1076,2,20,0
Graduate,Married,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,1,52,Partner,Two Children,34,3,12,0
Graduate,Together,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,56,Partner,Three or More Children,11,4,11,0
Undergraduate,Single,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,0,1,44,Alone,Two Children,1274,2,37,2
Graduate,Together,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,65,Partner,Two Children,653,3,22,0
Graduate,Together,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,53,Partner,Three or More Children,1562,5,24,0
Postgraduate,Married,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,69,Partner,One Child,1253,2,24,0
Undergraduate,Married,51412.0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,50,Partner,Two Children,109,3,17,0
Graduate,Married,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,64,Partner,Two Children,863,3,37,0
Postgraduate,Married,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,0,48,Partner,Three or More Children,661,4,31,1
Graduate,Married,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,71,Partner,One Child,65,2,10,0
Graduate,Divorced,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,46,Alone,Two Children,13,2,10,0
Postgraduate,Married,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,1,51,Partner,One Child,1890,2,24,0
Graduate,Single,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,0,1,47,Alone,One Child,2209,1,26,1
Undergraduate,Together,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,1,0,47,Partner,One Child,18,2,7,0
Graduate,Together,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,0,1,58,Partner,One Child,692,2,29,1
Graduate,Single,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,38,Alone,Two Children,165,2,20,0
Graduate,Married,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,54,Partner,Two Children,16,3,11,0
Undergraduate,Married,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,50,Partner,Two Children,79,3,16,0
Postgraduate,Together,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,60,Partner,One Child,318,2,14,0
Graduate,Divorced,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,36,Alone,One Child,778,1,28,0
Graduate,Married,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,63,Partner,Three or More Children,56,4,14,0
Postgraduate,Married,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,0,53,Partner,Three or More Children,151,4,20,1
Graduate,Single,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,66,Alone,Two Children,372,2,24,2
Graduate,Married,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,50,Partner,One Child,1366,2,21,1
Graduate,Together,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,56,Partner,Two Children,194,3,12,0
Postgraduate,Married,51412.0,4,230,42,192,49,37,53,12,7,2,8,9,0,0,66,Partner,Three or More Children,603,5,38,0
Graduate,Single,51412.0,45,7,0,8,2,0,1,1,1,0,2,7,0,0,66,Alone,Three or More Children,18,3,11,0
Postgraduate,Together,51412.0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,50,Partner,One Child,985,2,16,0
Postgraduate,Single,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,51,Alone,Two Children,32,2,12,0
Postgraduate,Married,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,53,Partner,Two Children,43,3,15,0
Graduate,Married,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,40,Partner,Two Children,45,3,12,0
Graduate,Widow,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,0,63,Alone,Two Children,606,2,28,1
Graduate,Divorced,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,51,Alone,Three or More Children,63,3,14,0
Undergraduate,Married,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,72,Partner,One Child,978,2,27,1
Postgraduate,Married,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,40,Partner,One Child,410,2,21,0
Undergraduate,Single,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,63,Alone,Two Children,72,2,15,0
Postgraduate,Single,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,64,Alone,Two Children,55,2,13,0
Graduate,Together,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,44,Partner,Two Children,1169,3,32,0
Postgraduate,Married,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,78,Partner,One Child,1120,2,20,0
Graduate,Married,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,1,64,Partner,One Child,1097,2,21,0
Undergraduate,Together,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,44,Partner,Two Children,29,3,10,0
Graduate,Married,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,59,Partner,Three or More Children,187,4,20,0
Graduate,Married,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,54,Partner,Three or More Children,910,4,32,0
Graduate,Single,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,45,Alone,Two Children,145,2,16,0
Postgraduate,Married,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,63,Partner,One Child,850,2,16,0
Graduate,Together,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,44,Partner,Two Children,969,3,27,0
Postgraduate,Together,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,0,60,Partner,Two Children,608,3,26,1
Postgraduate,Married,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,43,Partner,Two Children,551,3,28,0
Graduate,Single,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,61,Alone,Three or More Children,114,3,14,0
Graduate,Married,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,53,Partner,One Child,1724,2,16,2
Undergraduate,Married,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,45,Partner,Two Children,577,3,29,0
Undergraduate,Together,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,56,Partner,Three or More Children,81,4,12,0
Graduate,Together,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,54,Partner,Two Children,33,3,13,0
Postgraduate,Together,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,70,Partner,Two Children,660,3,26,0
Postgraduate,Single,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,1,56,Alone,Two Children,80,2,14,0
Postgraduate,Married,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,38,Partner,Three or More Children,30,4,13,0
Graduate,Divorced,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,47,Alone,Two Children,43,2,12,0
Graduate,Single,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,40,Alone,One Child,1135,1,29,3
Undergraduate,Together,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,58,Partner,One Child,559,2,17,0
Graduate,Single,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,1,39,Alone,One Child,1923,1,17,0
Postgraduate,Married,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,70,Partner,Three or More Children,90,4,14,0
Postgraduate,Married,51412.0,23,352,0,27,10,0,15,3,6,1,7,6,0,0,62,Partner,Two Children,404,3,23,0
Postgraduate,Together,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,67,Partner,Three or More Children,661,4,27,0
Graduate,Married,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,71,Partner,Two Children,463,3,24,0
Postgraduate,Alone,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,65,Alone,Three or More Children,632,3,31,0
Graduate,Married,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,54,Partner,One Child,725,2,23,0
Graduate,Married,51412.0,96,231,65,196,38,71,124,1,6,5,7,4,0,0,60,Partner,Two Children,725,3,23,0
Postgraduate,Married,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,59,Partner,Three or More Children,279,4,24,0
Postgraduate,Together,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,56,Partner,One Child,1482,2,26,1
Undergraduate,Divorced,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,47,Alone,Two Children,29,2,14,0
Postgraduate,Married,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,64,Partner,Three or More Children,106,5,17,0
Postgraduate,Alone,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,0,1,50,Alone,Three or More Children,49,3,11,1
Postgraduate,Divorced,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,58,Alone,Three or More Children,38,3,14,0
Postgraduate,Together,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,1,47,Partner,Two Children,1053,3,24,0
Graduate,Married,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,61,Partner,One Child,1385,2,25,0
Postgraduate,Single,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,49,Alone,Two Children,871,2,31,0
Graduate,Together,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,35,Partner,Two Children,312,3,19,0
Graduate,Married,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,47,Partner,Three or More Children,877,4,23,0
Graduate,Married,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,1,48,Partner,Two Children,68,3,12,0
Graduate,Together,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,1,0,42,Partner,Two Children,22,3,12,0
Undergraduate,Married,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,50,Partner,Three or More Children,211,5,24,0
Postgraduate,Married,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,57,Partner,One Child,127,2,11,0
Postgraduate,Married,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,70,Partner,Three or More Children,459,4,19,0
Graduate,Married,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,0,54,Partner,Two Children,460,3,25,1
Undergraduate,Together,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,51,Partner,Two Children,429,3,24,0
Graduate,Alone,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,35,Alone,Two Children,89,2,17,0
Postgraduate,Together,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,71,Partner,Two Children,1021,3,31,0
Graduate,Together,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,74,Partner,One Child,1381,2,25,2
Graduate,Single,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,65,Alone,Two Children,306,2,22,0
Graduate,Single,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,45,Alone,Three or More Children,18,4,8,0
Graduate,Together,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,46,Partner,Two Children,162,3,11,0
Graduate,Single,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,68,Alone,One Child,1231,1,19,0
Postgraduate,Single,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,65,Alone,Three or More Children,13,4,11,0
Postgraduate,Married,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,78,Partner,One Child,1706,2,33,0
Graduate,Married,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,39,Partner,Two Children,121,3,19,0
Postgraduate,Divorced,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,48,Alone,One Child,1293,1,22,0
Postgraduate,Married,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,50,Partner,Two Children,1608,3,37,0
Graduate,Together,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,57,Partner,Three or More Children,88,5,15,0
Graduate,Divorced,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,70,Alone,One Child,421,1,21,1
Graduate,Divorced,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,64,Alone,One Child,259,1,16,1
Graduate,Single,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,35,Alone,One Child,1117,1,16,0
Graduate,Together,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,66,Partner,Three or More Children,89,4,14,0
Graduate,Together,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,58,Partner,Three or More Children,36,4,13,0
Graduate,Married,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,41,Partner,Two Children,57,3,15,0
Graduate,Married,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,53,Partner,Three or More Children,148,4,14,0
Postgraduate,Together,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,64,Partner,Three or More Children,93,4,13,0
Graduate,Single,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,0,0,56,Alone,Two Children,119,2,11,1
Postgraduate,Married,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,48,Partner,Two Children,1835,3,33,0
Postgraduate,Married,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,75,Partner,One Child,1318,2,29,2
Postgraduate,Married,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,53,Partner,Three or More Children,45,4,14,0
Graduate,Together,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,64,Partner,Three or More Children,10,5,6,0
Undergraduate,Married,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,72,Partner,One Child,978,2,27,1
Postgraduate,Married,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,47,Partner,Two Children,191,3,15,0
Undergraduate,Married,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,35,Partner,Two Children,57,3,15,0
Postgraduate,Married,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,77,Partner,One Child,1033,2,26,0
Postgraduate,Married,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,39,Partner,Two Children,66,3,12,0
Undergraduate,Married,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,62,Partner,One Child,43,2,12,0
Graduate,Married,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,40,Partner,Two Children,50,3,14,0
Postgraduate,Single,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,53,Alone,Two Children,39,2,12,0
Graduate,Married,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,57,Partner,Two Children,608,3,23,0
Graduate,Married,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,47,Partner,One Child,1581,2,26,0
Postgraduate,Married,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,59,Partner,Three or More Children,68,4,14,0
Undergraduate,Together,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,0,0,45,Partner,Two Children,80,3,11,1
Graduate,Married,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,35,Partner,Two Children,91,3,16,0
Graduate,Married,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,50,Partner,Three or More Children,315,4,22,0
Graduate,Married,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,46,Partner,Three or More Children,31,4,14,0
Postgraduate,Married,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,43,Partner,One Child,834,2,26,0
Graduate,Married,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,69,Partner,One Child,1600,2,19,1
Graduate,Married,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,69,Partner,One Child,1270,2,19,0
Postgraduate,Single,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,0,1,50,Alone,Three or More Children,263,3,23,1
Graduate,Divorced,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,0,71,Alone,Two Children,535,2,24,1
Graduate,Single,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,55,Alone,One Child,1295,1,19,0
Graduate,Divorced,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,45,Alone,Two Children,1150,2,35,0
Postgraduate,Together,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,46,Partner,One Child,1240,2,30,3
Postgraduate,Single,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,58,Alone,Three or More Children,38,3,13,0
Postgraduate,Single,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,0,1,39,Alone,One Child,35,1,10,1
Graduate,Together,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,0,0,35,Partner,Two Children,53,3,14,1
Postgraduate,Divorced,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,60,Alone,Three or More Children,293,3,23,0
Graduate,Married,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,57,Partner,Two Children,65,3,12,0
Graduate,Divorced,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,0,1,69,Alone,Two Children,1804,2,37,1
Graduate,Together,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,0,67,Partner,Two Children,241,3,19,0
Graduate,Together,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,69,Partner,One Child,1101,2,21,0
Postgraduate,Married,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,0,55,Partner,Three or More Children,264,4,27,0
Postgraduate,Together,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,0,49,Partner,Three or More Children,541,4,33,0
Graduate,Married,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,38,Partner,One Child,1198,2,18,0
Graduate,Married,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,46,Partner,Two Children,482,3,28,0
Undergraduate,Single,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,0,45,Alone,Three or More Children,17,4,12,0
Postgraduate,Married,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,0,75,Partner,One Child,1615,2,28,2
Postgraduate,Widow,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,0,0,69,Alone,Two Children,285,2,19,0
Graduate,Together,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,43,Partner,Two Children,1135,3,34,0
Undergraduate,Together,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,35,Partner,Two Children,114,3,10,0
Graduate,Married,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,54,Partner,One Child,1047,2,17,0
Postgraduate,Together,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,0,53,Partner,Three or More Children,714,4,25,0
Postgraduate,Married,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,43,Partner,Two Children,185,3,21,0
Graduate,Divorced,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,0,0,61,Alone,Two Children,1245,2,38,0
Graduate,Together,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,45,Partner,Two Children,189,3,20,0
Graduate,Together,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,0,47,Partner,Two Children,576,3,24,0
Graduate,Divorced,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,0,0,71,Alone,Two Children,1103,2,26,0
Postgraduate,Married,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,51,Partner,One Child,1753,2,19,0
Postgraduate,Together,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,37,Partner,Two Children,17,3,12,0
Graduate,Single,37070.0,30,231,7,137,4,15,39,9,5,1,8,7,0,1,57,Alone,Three or More Children,433,3,30,0
